stock_date,open_price,close_price,low,high,volume,return
2023-04-11,4110.29,4108.94,4102.61,4124.26,3665830000,0.00
2023-04-12,4121.72,4091.95,4086.94,4134.37,3633120000,-0.41
2023-04-13,4100.04,4146.22,4099.4,4150.26,3596590000,1.33
2023-04-14,4140.11,4137.64,4113.2,4163.19,3575690000,-0.21
2023-04-17,4137.17,4151.32,4123.18,4151.72,3611180000,0.33
2023-04-18,4164.26,4154.87,4140.36,4169.48,3536640000,0.09
2023-04-19,4139.33,4154.52,4134.49,4162.57,3572560000,-0.01
2023-04-20,4130.48,4129.79,4114.57,4148.57,3772080000,-0.60
2023-04-21,4132.14,4133.52,4113.86,4138.02,3611750000,0.09
2023-04-24,4132.07,4137.04,4117.77,4142.41,3290940000,0.09
2023-04-25,4126.43,4071.63,4071.38,4126.43,3978640000,-1.58
2023-04-26,4087.78,4055.99,4049.35,4089.67,3837030000,-0.38
2023-04-27,4075.29,4135.35,4075.29,4138.24,3750550000,1.96
2023-04-28,4129.63,4169.48,4127.18,4170.06,4087800000,0.83
2023-05-01,4166.79,4167.87,4164.12,4186.92,3321370000,-0.04
2023-05-02,4164.1,4119.58,4089.72,4164.1,4486130000,-1.16
2023-05-03,4122.25,4090.75,4088.86,4148.3,4246510000,-0.70
2023-05-04,4082.55,4061.22,4048.28,4082.61,4920090000,-0.72
2023-05-05,4084.73,4136.25,4084.73,4147.02,4186270000,1.85
2023-05-08,4136.98,4138.12,4123.81,4142.3,3641640000,0.05
2023-05-09,4124.25,4119.17,4116.65,4130.35,3810140000,-0.46
2023-05-10,4143.74,4137.64,4098.92,4154.28,4057160000,0.45
2023-05-11,4132.24,4130.62,4109.29,4132.8,3752900000,-0.17
2023-05-12,4138.54,4124.08,4099.12,4143.74,3533740000,-0.16
2023-05-15,4126.65,4136.28,4110.27,4141.25,3562170000,0.30
2023-05-16,4127.95,4109.9,4109.86,4135.54,3654200000,-0.64
2023-05-17,4122.85,4158.77,4113.62,4164.67,4039080000,1.19
2023-05-18,4157.68,4198.05,4153.5,4202.2,3980500000,0.94
2023-05-19,4204.15,4191.98,4180.2,4212.91,4041900000,-0.14
2023-05-22,4190.78,4192.63,4179.68,4209.22,3728520000,0.02
2023-05-23,4176.8,4145.58,4142.54,4185.68,4155320000,-1.12
2023-05-24,4132.96,4115.24,4103.98,4132.96,3739160000,-0.73
2023-05-25,4155.71,4151.28,4129.73,4165.74,4147760000,0.88
2023-05-26,4156.16,4205.45,4156.16,4212.87,3715460000,1.30
2023-05-30,4226.71,4205.52,4192.18,4231.1,4228510000,0.00
2023-05-31,4190.74,4179.83,4166.15,4195.44,5980670000,-0.61
2023-06-01,4183.03,4221.02,4171.64,4232.43,4391860000,0.99
2023-06-02,4241.01,4282.37,4241.01,4290.67,4454200000,1.45
2023-06-05,4282.99,4273.79,4266.82,4299.28,3813290000,-0.20
2023-06-06,4271.34,4283.85,4263.09,4288.33,3996560000,0.24
2023-06-07,4285.47,4267.52,4263.96,4299.19,4537800000,-0.38
